timestamp,generation,hour,day,weekday,month,anomaly_iforest
2024-03-12 18:00:00,8378,18,12,Tuesday,March,False
2024-03-12 17:00:00,4875,17,12,Tuesday,March,False
2024-03-12 16:00:00,1464,16,12,Tuesday,March,False
2024-03-12 15:00:00,90,15,12,Tuesday,March,False
2024-03-12 03:00:00,1178,3,12,Tuesday,March,False
2024-03-12 02:00:00,7236,2,12,Tuesday,March,False
2024-03-12 01:00:00,9189,1,12,Tuesday,March,False
2024-03-12 00:00:00,10850,0,12,Tuesday,March,False
2024-03-11 23:00:00,11513,23,11,Monday,March,False
2024-03-11 22:00:00,12014,22,11,Monday,March,False
2024-03-11 21:00:00,12546,21,11,Monday,March,False
2024-03-11 20:00:00,12694,20,11,Monday,March,False
2024-03-11 19:00:00,12826,19,11,Monday,March,False
2024-03-11 18:00:00,11599,18,11,Monday,March,False
2024-03-11 17:00:00,7937,17,11,Monday,March,False
2024-03-11 16:00:00,2018,16,11,Monday,March,False
2024-03-11 15:00:00,65,15,11,Monday,March,False
2024-03-11 03:00:00,806,3,11,Monday,March,False
2024-03-11 02:00:00,4846,2,11,Monday,March,False
2024-03-11 01:00:00,9098,1,11,Monday,March,False
2024-03-11 00:00:00,10661,0,11,Monday,March,False
2024-03-10 23:00:00,10955,23,10,Sunday,March,False
2024-03-10 22:00:00,11031,22,10,Sunday,March,False
2024-03-10 21:00:00,11685,21,10,Sunday,March,False
2024-03-10 20:00:00,11729,20,10,Sunday,March,False
2024-03-10 19:00:00,11387,19,10,Sunday,March,False
2024-03-10 18:00:00,10258,18,10,Sunday,March,False
2024-03-10 17:00:00,7006,17,10,Sunday,March,False
2024-03-10 16:00:00,1770,16,10,Sunday,March,False
2024-03-10 15:00:00,52,15,10,Sunday,March,False
2024-03-10 05:00:00,44,5,10,Sunday,March,False
2024-03-10 04:00:00,57,4,10,Sunday,March,False
2024-03-10 03:00:00,1252,3,10,Sunday,March,False
2024-03-10 02:00:00,6357,2,10,Sunday,March,False
2024-03-10 01:00:00,10178,1,10,Sunday,March,False
2024-03-10 00:00:00,11695,0,10,Sunday,March,False
2024-03-09 23:00:00,12468,23,9,Saturday,March,False
2024-03-09 22:00:00,13098,22,9,Saturday,March,False
2024-03-09 21:00:00,13439,21,9,Saturday,March,False
2024-03-09 20:00:00,13650,20,9,Saturday,March,False
2024-03-09 19:00:00,13331,19,9,Saturday,March,False
2024-03-09 18:00:00,12270,18,9,Saturday,March,False
2024-03-09 17:00:00,8588,17,9,Saturday,March,False
2024-03-09 16:00:00,2095,16,9,Saturday,March,False
2024-03-09 15:00:00,149,15,9,Saturday,March,False
2024-03-09 14:00:00,7,14,9,Saturday,March,False
2024-03-09 12:00:00,11,12,9,Saturday,March,False
2024-03-09 11:00:00,1,11,9,Saturday,March,False
2024-03-09 10:00:00,29,10,9,Saturday,March,False
2024-03-09 09:00:00,32,9,9,Saturday,March,False
2024-03-09 08:00:00,4,8,9,Saturday,March,False
2024-03-09 03:00:00,1430,3,9,Saturday,March,False
2024-03-09 02:00:00,7802,2,9,Saturday,March,False
2024-03-09 01:00:00,11154,1,9,Saturday,March,False
2024-03-09 00:00:00,12630,0,9,Saturday,March,False
2024-03-08 23:00:00,13199,23,8,Friday,March,False
2024-03-08 22:00:00,13196,22,8,Friday,March,False
2024-03-08 21:00:00,13172,21,8,Friday,March,False
2024-03-08 20:00:00,13186,20,8,Friday,March,False
2024-03-08 19:00:00,13196,19,8,Friday,March,False
2024-03-08 18:00:00,12990,18,8,Friday,March,False
2024-03-08 17:00:00,8825,17,8,Friday,March,False
2024-03-08 16:00:00,2141,16,8,Friday,March,False
2024-03-08 15:00:00,91,15,8,Friday,March,False
2024-03-08 03:00:00,1104,3,8,Friday,March,False
2024-03-08 02:00:00,6293,2,8,Friday,March,False
2024-03-08 01:00:00,8951,1,8,Friday,March,False
2024-03-08 00:00:00,10392,0,8,Friday,March,False
2024-03-07 23:00:00,11236,23,7,Thursday,March,False
2024-03-07 22:00:00,11798,22,7,Thursday,March,False
2024-03-07 21:00:00,11536,21,7,Thursday,March,False
2024-03-07 20:00:00,11579,20,7,Thursday,March,False
2024-03-07 19:00:00,11727,19,7,Thursday,March,False
2024-03-07 18:00:00,10852,18,7,Thursday,March,False
2024-03-07 17:00:00,6680,17,7,Thursday,March,False
2024-03-07 16:00:00,1222,16,7,Thursday,March,False
2024-03-07 15:00:00,83,15,7,Thursday,March,False
2024-03-07 09:00:00,15,9,7,Thursday,March,False
2024-03-07 08:00:00,11,8,7,Thursday,March,False
2024-03-07 07:00:00,0,7,7,Thursday,March,False
2024-03-07 06:00:00,2,6,7,Thursday,March,False
2024-03-07 03:00:00,209,3,7,Thursday,March,False
2024-03-07 02:00:00,2084,2,7,Thursday,March,False
2024-03-07 01:00:00,4547,1,7,Thursday,March,False
2024-03-07 00:00:00,7933,0,7,Thursday,March,False
2024-03-06 23:00:00,10463,23,6,Wednesday,March,False
2024-03-06 22:00:00,11065,22,6,Wednesday,March,False
2024-03-06 21:00:00,12370,21,6,Wednesday,March,False
2024-03-06 20:00:00,12867,20,6,Wednesday,March,False
2024-03-06 19:00:00,12292,19,6,Wednesday,March,False
2024-03-06 18:00:00,10861,18,6,Wednesday,March,False
2024-03-06 17:00:00,6081,17,6,Wednesday,March,False
2024-03-06 16:00:00,980,16,6,Wednesday,March,False
2024-03-06 15:00:00,67,15,6,Wednesday,March,False
2024-03-06 03:00:00,1309,3,6,Wednesday,March,False
2024-03-06 02:00:00,6402,2,6,Wednesday,March,False
2024-03-06 01:00:00,8917,1,6,Wednesday,March,False
2024-03-06 00:00:00,10743,0,6,Wednesday,March,False
2024-03-05 23:00:00,12159,23,5,Tuesday,March,False
2024-03-05 22:00:00,12891,22,5,Tuesday,March,False
2024-03-05 21:00:00,13394,21,5,Tuesday,March,False
2024-03-05 20:00:00,13638,20,5,Tuesday,March,False
2024-03-05 19:00:00,12836,19,5,Tuesday,March,False
